"rok","woj","plec","internet_godz","samotnosc","internet_zawodowo"
"2009",10,"kobieta",10.1749278747116,0.259673251345204,0.203500204230471
"2009",12,"mężczyzna",11.8872089440135,0.151297114240019,0.297346328784861
"2009",12,"kobieta",10.5693234929017,0.224632622764098,0.265290318883307
"2009",14,"mężczyzna",15.3083372150461,0.217263277900099,0.340789832546391
"2009",14,"kobieta",12.1475299870124,0.286079252211295,0.299342695886516
"2009",16,"mężczyzna",13.8456783458299,0.167835737967033,0.359661335414649
"2009",16,"kobieta",8.46646420270281,0.191882172364306,0.240458316309333
"2009",18,"mężczyzna",11.6397100945608,0.140118649678189,0.240254048232254
"2009",18,"kobieta",8.19862794751177,0.255618589032181,0.193420133566853
"2009",20,"mężczyzna",13.0769024037559,0.195501351925498,0.256045535905578
"2009",20,"kobieta",11.6185221425871,0.253007501693817,0.251665664003072
